Make,Model,Year,Price,Mileage,Body Type,Cylinders,Transmission,Fuel Type,Color,Location,Description
land-rover,range-rover,2024,362830,272263,SUV,8,Automatic Transmission,Gasoline,Silver, Dubai,"2024 land-rover range-rover with Rear camera, Navigation system, Adaptive cruise control, Bluetooth. Condition: Accident history."
land-rover,range-rover,2021,542598,133362,SUV,8,Automatic Transmission,Gasoline,Black, Dubai,"2021 land-rover range-rover with Rear camera, Leather seats, Navigation system. Condition: Dented door."
benz,g-class,2021,893759,76951,SUV,8,Automatic Transmission,Gasoline,Grey, Dubai,"2021 mercedes-benz g-class with Sunroof, Rear camera, Bluetooth, Navigation system. Condition: Accident history."
benz,gl-class,2024,122472,272408,SUV,8,Automatic Transmission,Gasoline,Silver, Dubai,"2024 mercedes-benz gl-class with Navigation system, Bluetooth, Adaptive cruise control, Leather seats. Condition: Engine repaired."
ford,mustang,2022,91123,76175,Sports Car,8,Manual Transmission,Gasoline,Red, Sharjah,"2022 ford mustang with Bluetooth, Navigation system, Rear camera. Condition: Engine repaired."
benz,glc,2022,162874,161773,Crossover,4,Automatic Transmission,Gasoline,Black, Dubai,"2022 mercedes-benz glc with Leather seats, Rear camera. Condition: No damage."
land-rover,range-rover,2022,28945,168272,SUV,8,Automatic Transmission,Gasoline,Gold, Dubai,"2022 land-rover range-rover with Bluetooth, Leather seats, Sunroof. Condition: Repainted bumper."
ford,mustang,2023,122871,188323,Coupe,8,Automatic Transmission,Gasoline,White, Dubai,"2023 ford mustang with Adaptive cruise control, Bluetooth. Condition: No damage."
nissan,patrol,2023,140141,109434,SUV,6,Automatic Transmission,Gasoline,White, Dubai,"2023 nissan patrol with Rear camera, Adaptive cruise control. Condition: Dented door."
ford,edge,2023,78096,212645,SUV,6,Automatic Transmission,Gasoline,Blue, Dubai,"2023 ford edge with Navigation system, Leather seats, Sunroof. Condition: Dented door."
toyota,hiace,2020,113598,108181,Pick Up Truck,6,Manual Transmission,Gasoline,White, Ajman,"2020 toyota hiace with Rear camera, Sunroof, Navigation system, Adaptive cruise control. Condition: No damage."
bmw,3-series,2024,20308,211980,Sedan,4,Automatic Transmission,Gasoline,Black, Dubai,"2024 bmw 3-series with Sunroof, Navigation system, Adaptive cruise control. Condition: Engine repaired."
benz,g-class,2022,146553,295444,SUV,8,Automatic Transmission,Gasoline,Burgundy, Dubai,"2022 mercedes-benz g-class with Bluetooth, Navigation system, Adaptive cruise control, Leather seats. Condition: Dented door."
nissan,patrol,2020,79833,101268,SUV,6,Automatic Transmission,Gasoline,White, Dubai,"2020 nissan patrol with Bluetooth, Sunroof, Leather seats, Rear camera. Condition: Repainted bumper."
bmw,3-series,2022,30246,218922,Sedan,4,Automatic Transmission,Gasoline,White, Dubai,"2022 bmw 3-series with Rear camera, Leather seats, Navigation system, Adaptive cruise control. Condition: Repainted bumper."
ford,pickup,2020,130055,28294,Pick Up Truck,8,Automatic Transmission,Gasoline,White, Dubai,"2020 ford pickup with Adaptive cruise control, Bluetooth, Sunroof. Condition: No damage."
benz,x-class,2020,183619,239663,SUV,4,Automatic Transmission,Diesel,Black, Dubai,"2020 mercedes-benz x-class with Rear camera, Bluetooth, Leather seats. Condition: Engine repaired."
benz,c-class,2024,85359,221427,Sedan,4,Automatic Transmission,Gasoline,Black, Sharjah,"2024 mercedes-benz c-class with Sunroof, Bluetooth. Condition: Repainted bumper."
nissan,patrol,2020,101879,148390,SUV,6,Automatic Transmission,Gasoline,White, Abu Dhabi,"2020 nissan patrol with Bluetooth, Sunroof, Leather seats. Condition: No damage."
land-rover,range-rover,2020,192824,12633,SUV,8,Automatic Transmission,Gasoline,White, Dubai,"2020 land-rover range-rover with Leather seats, Rear camera, Sunroof, Bluetooth. Condition: Accident history."
land-rover,range-rover,2021,126881,131652,SUV,8,Automatic Transmission,Gasoline,Black, Dubai,"2021 land-rover range-rover with Leather seats, Sunroof, Rear camera. Condition: Dented door."
benz,c-class,2022,164122,252075,Coupe,8,Automatic Transmission,Gasoline,White, Dubai,"2022 mercedes-benz c-class with Sunroof, Rear camera, Leather seats, Bluetooth. Condition: Repainted bumper."
benz,s-class,2020,31985,241297,Sedan,6,Automatic Transmission,Gasoline,White, Dubai,"2020 mercedes-benz s-class with Rear camera, Navigation system, Leather seats, Sunroof. Condition: Dented door."
benz,e-class,2023,101114,221534,Sedan,6,Automatic Transmission,Gasoline,White, Dubai,"2023 mercedes-benz e-class with Navigation system, Leather seats, Bluetooth, Sunroof. Condition: Accident history."
benz,e-class,2024,449746,70852,Coupe,4,Automatic Transmission,Gasoline,White, Dubai,"2024 mercedes-benz e-class with Bluetooth, Adaptive cruise control, Navigation system. Condition: Minor scratches."
nissan,navara,2022,35094,14561,Other,4,Manual Transmission,Gasoline,White, Sharjah,"2022 nissan navara with Adaptive cruise control, Leather seats, Sunroof, Rear camera. Condition: No damage."
benz,c-class,2022,38682,16269,Sedan,6,Automatic Transmission,Gasoline,White, Dubai,"2022 mercedes-benz c-class with Navigation system, Rear camera, Leather seats, Sunroof. Condition: Dented door."
nissan,altima,2022,39129,126860,Sedan,4,Automatic Transmission,Gasoline,Grey, Dubai,"2022 nissan altima with Bluetooth, Leather seats. Condition: Engine repaired."
benz,amg,2022,334809,254075,Sedan,12,Automatic Transmission,Gasoline,Black, Ajman,"2022 mercedes-benz amg with Navigation system, Bluetooth. Condition: Repainted bumper."
ford,explorer,2022,55480,59377,SUV,6,Automatic Transmission,Gasoline,Red, Abu Dhabi,"2022 ford explorer with Navigation system, Adaptive cruise control. Condition: Dented door."
bmw,1-series,2020,84685,281703,Hatchback,4,Automatic Transmission,Gasoline,Blue, Dubai,"2020 bmw 1-series with Adaptive cruise control, Sunroof, Leather seats. Condition: Accident history."
toyota,corolla,2023,43942,77260,Sedan,4,Automatic Transmission,Gasoline,White, Sharjah,"2023 toyota corolla with Rear camera, Leather seats, Bluetooth, Navigation system. Condition: No damage."
toyota,prado,2023,84418,97067,SUV,4,Automatic Transmission,Gasoline,White, Abu Dhabi,"2023 toyota prado with Leather seats, Bluetooth. Condition: Engine repaired."
benz,s-class,2022,192327,116322,Sedan,8,Automatic Transmission,Gasoline,Grey, Dubai,"2022 mercedes-benz s-class with Rear camera, Adaptive cruise control, Navigation system, Bluetooth. Condition: Dented door."
nissan,patrol,2023,152233,294639,SUV,6,Automatic Transmission,Gasoline,Gold, Dubai,"2023 nissan patrol with Adaptive cruise control, Rear camera, Leather seats. Condition: Dented door."
toyota,camry,2021,52709,76286,Sedan,4,Automatic Transmission,Gasoline,Silver, Sharjah,"2021 toyota camry with Sunroof, Navigation system, Bluetooth, Adaptive cruise control. Condition: Accident history."
benz,m-class,2023,26985,270898,SUV,8,Automatic Transmission,Gasoline,Black, Dubai,"2023 mercedes-benz m-class with Navigation system, Rear camera, Adaptive cruise control, Leather seats. Condition: Engine repaired."
bmw,6-series,2024,194880,78110,Coupe,8,Automatic Transmission,Gasoline,Green, Abu Dhabi,"2024 bmw 6-series with Sunroof, Rear camera, Navigation system. Condition: Accident history."
toyota,fortuner,2020,33573,222361,SUV,6,Automatic Transmission,Gasoline,Red, Dubai,"2020 toyota fortuner with Sunroof, Rear camera, Leather seats, Bluetooth. Condition: Repainted bumper."
porsche,cayenne,2020,48106,30037,SUV,6,Automatic Transmission,Gasoline,Black, Dubai,"2020 porsche cayenne with Bluetooth, Rear camera, Navigation system, Adaptive cruise control. Condition: Accident history."
benz,c-class,2023,222362,54278,Sedan,8,Automatic Transmission,Gasoline,White, Dubai,"2023 mercedes-benz c-class with Bluetooth, Rear camera, Leather seats, Navigation system. Condition: No damage."
toyota,camry,2022,25148,109891,Sedan,4,Automatic Transmission,Gasoline,White, Dubai,"2022 toyota camry with Navigation system, Rear camera, Sunroof, Leather seats. Condition: No damage."
toyota,hilux,2023,77825,72320,Pick Up Truck,4,Automatic Transmission,Gasoline,White, Dubai,"2023 toyota hilux with Navigation system, Bluetooth, Sunroof, Rear camera. Condition: Dented door."
toyota,land-cruiser,2022,122404,286455,Pick Up Truck,6,Manual Transmission,Gasoline,Red, Dubai,"2022 toyota land-cruiser with Bluetooth, Sunroof. Condition: Engine repaired."
nissan,sunny,2022,38648,39996,Sedan,4,Automatic Transmission,Gasoline,White, Dubai,"2022 nissan sunny with Navigation system, Bluetooth, Leather seats, Sunroof. Condition: Dented door."
benz,sl-class,2021,138209,213741,Hard Top Convertible,8,Automatic Transmission,Gasoline,White, Dubai,"2021 mercedes-benz sl-class with Navigation system, Bluetooth, Leather seats. Condition: Accident history."
benz,s-class,2020,155027,69725,Sedan,8,Automatic Transmission,Gasoline,Black, Dubai,"2020 mercedes-benz s-class with Adaptive cruise control, Rear camera. Condition: Engine repaired."
benz,gl-class,2021,126555,115441,SUV,8,Automatic Transmission,Gasoline,Blue, Abu Dhabi,"2021 mercedes-benz gl-class with Adaptive cruise control, Sunroof. Condition: No damage."
nissan,patrol,2020,165451,277888,SUV,6,Automatic Transmission,Gasoline,Black, Dubai,"2020 nissan patrol with Navigation system, Rear camera. Condition: Repainted bumper."
porsche,cayenne,2021,38039,84180,SUV,6,Automatic Transmission,Gasoline,Black, Dubai,"2021 porsche cayenne with Leather seats, Bluetooth, Sunroof, Rear camera. Condition: Repainted bumper."
benz,s-class,2023,265453,260436,Sedan,8,Automatic Transmission,Gasoline,Grey, Dubai,"2023 mercedes-benz s-class with Leather seats, Bluetooth. Condition: Accident history."
land-rover,range-rover-sport,2020,220645,224756,SUV,8,Automatic Transmission,Gasoline,White, Dubai,"2020 land-rover range-rover-sport with Sunroof, Rear camera, Leather seats, Navigation system. Condition: Dented door."
benz,s-class,2021,436676,102760,Sedan,8,Automatic Transmission,Gasoline,Grey, Dubai,"2021 mercedes-benz s-class with Bluetooth, Navigation system, Leather seats, Sunroof. Condition: Dented door."
nissan,patrol,2024,217249,170849,SUV,6,Automatic Transmission,Gasoline,Black, Dubai,"2024 nissan patrol with Sunroof, Bluetooth. Condition: Dented door."
bmw,x5,2024,48702,62774,SUV,6,Automatic Transmission,Gasoline,Grey, Dubai,"2024 bmw x5 with Bluetooth, Navigation system, Rear camera. Condition: Repainted bumper."
benz,c-class,2024,79300,288154,Sedan,4,Automatic Transmission,Gasoline,Grey, Dubai,"2024 mercedes-benz c-class with Bluetooth, Adaptive cruise control. Condition: Engine repaired."
benz,g-class,2022,845325,16461,SUV,8,Automatic Transmission,Gasoline,Gold, Dubai,"2022 mercedes-benz g-class with Navigation system, Bluetooth, Sunroof. Condition: Accident history."
toyota,hiace,2023,62648,251544,Van,4,Manual Transmission,Gasoline,White, Dubai,"2023 toyota hiace with Rear camera, Bluetooth, Sunroof, Adaptive cruise control. Condition: Dented door."
porsche,panamera,2020,279280,31922,Sedan,6,Automatic Transmission,Gasoline,White, Dubai,"2020 porsche panamera with Leather seats, Rear camera, Navigation system, Bluetooth. Condition: Repainted bumper."
toyota,land-cruiser,2021,478958,143326,SUV,6,Automatic Transmission,Gasoline,White, Dubai,"2021 toyota land-cruiser with Leather seats, Bluetooth, Navigation system. Condition: Repainted bumper."
benz,c-class-coupe,2024,123293,22028,Coupe,4,Automatic Transmission,Gasoline,Black, Dubai,"2024 mercedes-benz c-class-coupe with Navigation system, Rear camera, Sunroof. Condition: Dented door."
ford,edge,2021,31370,29713,SUV,6,Automatic Transmission,Gasoline,Grey, Abu Dhabi,"2021 ford edge with Bluetooth, Leather seats, Navigation system. Condition: Engine repaired."
bmw,1-series,2022,33690,280758,Hatchback,4,Automatic Transmission,Gasoline,White, Dubai,"2022 bmw 1-series with Sunroof, Adaptive cruise control, Bluetooth, Rear camera. Condition: Engine repaired."
toyota,rav-4,2024,120834,11683,SUV,4,Automatic Transmission,Gasoline,Black, Dubai,"2024 toyota rav-4 with Rear camera, Adaptive cruise control. Condition: No damage."
ford,expedition,2024,21459,273360,SUV,8,Automatic Transmission,Gasoline,Black, Sharjah,"2024 ford expedition with Sunroof, Bluetooth, Rear camera, Adaptive cruise control. Condition: Engine repaired."
bmw,x5,2021,622578,53856,SUV,8,Automatic Transmission,Gasoline,White, Dubai,"2021 bmw x5 with Adaptive cruise control, Navigation system, Sunroof. Condition: Dented door."
nissan,patrol,2021,39077,57894,SUV,6,Automatic Transmission,Gasoline,White,Abu Dhabi,"2021 nissan patrol with Bluetooth, Sunroof, Leather seats. Condition: No damage."
nissan,micra,2024,18973,137511,Hatchback,4,Automatic Transmission,Gasoline,Red, Dubai,"2024 nissan micra with Navigation system, Sunroof. Condition: Engine repaired."
bmw,8-series,2020,383087,206738,Sedan,6,Automatic Transmission,Gasoline,White, Dubai,"2020 bmw 8-series with Adaptive cruise control, Sunroof, Navigation system, Leather seats. Condition: Engine repaired."
toyota,land-cruiser,2021,356197,116372,SUV,6,Automatic Transmission,Gasoline,Black, Dubai,"2021 toyota land-cruiser with Adaptive cruise control, Bluetooth, Rear camera, Sunroof. Condition: Engine repaired."
ford,explorer,2024,37490,36269,SUV,6,Automatic Transmission,Gasoline,White, Sharjah,"2024 ford explorer with Sunroof, Rear camera, Navigation system, Leather seats. Condition: Minor scratches."
benz,c-class,2020,64452,23157,Sports Car,8,Automatic Transmission,Gasoline,Gold, Dubai,"2020 mercedes-benz c-class with Sunroof, Leather seats, Navigation system. Condition: Engine repaired."
benz,c-class,2023,35655,150426,Sedan,4,Automatic Transmission,Gasoline,White, Dubai,"2023 mercedes-benz c-class with Bluetooth, Rear camera. Condition: Repainted bumper."
toyota,other,2023,204340,272164,Other,4,Manual Transmission,Diesel,White, Dubai,"2023 toyota other with Leather seats, Adaptive cruise control, Rear camera. Condition: Dented door."
bmw,x5,2022,534057,77089,SUV,8,Automatic Transmission,Gasoline,White, Dubai,"2022 bmw x5 with Rear camera, Bluetooth. Condition: Accident history."
benz,s-class,2022,272519,57339,Sedan,8,Automatic Transmission,Gasoline,Grey, Dubai,"2022 mercedes-benz s-class with Bluetooth, Leather seats, Sunroof. Condition: Repainted bumper."
nissan,armada,2022,115914,136385,SUV,8,Automatic Transmission,Gasoline,Silver, Sharjah,"2022 nissan armada with Sunroof, Leather seats. Condition: Minor scratches."
porsche,carrera,2022,677171,27939,Coupe,6,Manual Transmission,Gasoline,White, Dubai,"2022 porsche carrera with Sunroof, Rear camera. Condition: Dented door."
nissan,x-trail,2020,51073,27423,SUV,4,Automatic Transmission,Gasoline,White, Abu Dhabi,"2020 nissan x-trail with Rear camera, Bluetooth. Condition: Dented door."
bmw,4-series,2021,153738,179480,Coupe,6,Automatic Transmission,Gasoline,Grey, Dubai,"2021 bmw 4-series with Sunroof, Leather seats, Rear camera. Condition: Dented door."
ford,f-series-pickup,2020,70847,132395,Pick Up Truck,8,Automatic Transmission,Gasoline,Red, Dubai,"2020 ford f-series-pickup with Rear camera, Sunroof, Navigation system, Leather seats. Condition: No damage."
toyota,tundra,2022,270598,265572,Pick Up Truck,6,Automatic Transmission,Gasoline,White, Dubai,"2022 toyota tundra with Adaptive cruise control, Navigation system, Bluetooth, Leather seats. Condition: No damage."
benz,a-class,2024,148895,179083,Sedan,4,Automatic Transmission,Gasoline,Grey, Dubai,"2024 mercedes-benz a-class with Rear camera, Bluetooth, Leather seats. Condition: Engine repaired."
benz,c-class,2020,154534,295227,Sedan,4,Automatic Transmission,Gasoline,White, Dubai,"2020 mercedes-benz c-class with Leather seats, Sunroof. Condition: No damage."
benz,g-class,2024,793384,168548,SUV,8,Automatic Transmission,Gasoline,Black, Dubai,"2024 mercedes-benz g-class with Rear camera, Sunroof. Condition: Repainted bumper."
benz,g-class,2023,1402910,77928,SUV,8,Automatic Transmission,Gasoline,Blue, Dubai,"2023 mercedes-benz g-class with Leather seats, Rear camera, Navigation system. Condition: Repainted bumper."
toyota,hilux,2024,127143,131297,Pick Up Truck,4,Automatic Transmission,Gasoline,Grey, Dubai,"2024 toyota hilux with Adaptive cruise control, Sunroof, Rear camera, Navigation system. Condition: No damage."
land-rover,range-rover,2021,321730,46042,SUV,8,Automatic Transmission,Gasoline,Blue, Dubai,"2021 land-rover range-rover with Bluetooth, Leather seats. Condition: Accident history."
ford,focus,2024,86601,51025,Hatchback,4,Manual Transmission,Gasoline,Other Color, Dubai,"2024 ford focus with Sunroof, Rear camera. Condition: Minor scratches."
toyota,hiace,2023,44380,240411,Other,4,Manual Transmission,Gasoline,White, Sharjah,"2023 toyota hiace with Leather seats, Rear camera, Navigation system, Bluetooth. Condition: Repainted bumper."
land-rover,range-rover,2024,246857,268244,SUV,8,Automatic Transmission,Gasoline,Black, Ajman,"2024 land-rover range-rover with Bluetooth, Adaptive cruise control, Leather seats. Condition: Dented door."
ford,edge,2020,16726,18712,SUV,6,Automatic Transmission,Gasoline,Blue, Dubai,"2020 ford edge with Navigation system, Adaptive cruise control, Sunroof. Condition: Accident history."
ford,edge,2022,83524,66670,SUV,6,Automatic Transmission,Gasoline,Grey, Dubai,"2022 ford edge with Bluetooth, Sunroof. Condition: Minor scratches."
nissan,patrol,2021,209002,183922,SUV,8,Automatic Transmission,Gasoline,White, Abu Dhabi,"2021 nissan patrol with Rear camera, Sunroof, Bluetooth. Condition: Repainted bumper."
porsche,carrera,2024,408851,101301,Coupe,6,Automatic Transmission,Gasoline,Grey, Dubai,"2024 porsche carrera with Bluetooth, Navigation system. Condition: Minor scratches."
benz,c-class,2024,67826,276577,Sedan,4,Automatic Transmission,Gasoline,White, Dubai,"2024 mercedes-benz c-class with Bluetooth, Navigation system. Condition: Minor scratches."
benz,s-class,2023,32015,166063,Sedan,8,Automatic Transmission,Gasoline,Silver, Dubai,"2023 mercedes-benz s-class with Sunroof, Rear camera, Leather seats. Condition: Dented door."
nissan,patrol,2022,97804,82967,SUV,6,Manual Transmission,Gasoline,Black, Dubai,"2022 nissan patrol with Navigation system, Leather seats, Bluetooth. Condition: Minor scratches."
ford,pickup,2021,55769,191712,Pick Up Truck,8,Automatic Transmission,Gasoline,Blue, Dubai,"2021 ford pickup with Navigation system, Rear camera, Adaptive cruise control, Bluetooth. Condition: No damage."
benz,glc,2024,206656,252478,SUV,4,Automatic Transmission,Gasoline,White, Dubai,"2024 mercedes-benz glc with Sunroof, Navigation system, Leather seats, Bluetooth. Condition: Repainted bumper."
toyota,land-cruiser,2021,189699,50850,SUV,6,Automatic Transmission,Gasoline,White,Ajman,"2021 toyota land-cruiser with Adaptive cruise control, Rear camera, Sunroof. Condition: Accident history."
toyota,highlander,2020,90515,81808,SUV,6,Automatic Transmission,Gasoline,Burgundy, Dubai,"2020 toyota highlander with Leather seats, Navigation system, Adaptive cruise control. Condition: Engine repaired."
land-rover,range-rover-sport,2020,39697,123918,SUV,8,Automatic Transmission,Gasoline,Brown, Dubai,"2020 land-rover range-rover-sport with Bluetooth, Sunroof. Condition: No damage."
benz,gls-class,2024,1015958,190246,SUV,8,Automatic Transmission,Gasoline,Green, Dubai,"2024 mercedes-benz gls-class with Leather seats, Bluetooth. Condition: Accident history."
benz,cla,2022,223072,98618,Sedan,4,Automatic Transmission,Gasoline,White, Dubai,"2022 mercedes-benz cla with Navigation system, Sunroof, Rear camera. Condition: Dented door."
nissan,sentra,2024,50890,152050,Sedan,4,Automatic Transmission,Gasoline,White, Dubai,"2024 nissan sentra with Leather seats, Adaptive cruise control, Rear camera, Bluetooth. Condition: Accident history."
toyota,fj-cruiser,2021,86045,89706,SUV,6,Automatic Transmission,Gasoline,White, Dubai,"2021 toyota fj-cruiser with Navigation system, Leather seats, Bluetooth, Rear camera. Condition: Minor scratches."
nissan,murano,2023,23925,17304,SUV,6,Automatic Transmission,Gasoline,Brown, Sharjah,"2023 nissan murano with Sunroof, Bluetooth. Condition: Dented door."
benz,s-class-coupe,2024,321188,296027,Coupe,8,Automatic Transmission,Gasoline,White, Dubai,"2024 mercedes-benz s-class-coupe with Sunroof, Adaptive cruise control. Condition: Accident history."
benz,s-class,2021,709761,213026,Sedan,8,Automatic Transmission,Gasoline,Black, Dubai,"2021 mercedes-benz s-class with Leather seats, Navigation system, Adaptive cruise control, Bluetooth. Condition: Minor scratches."
benz,gl-class,2021,110388,13270,SUV,8,Automatic Transmission,Gasoline,Silver, Dubai,"2021 mercedes-benz gl-class with Rear camera, Leather seats, Sunroof. Condition: Accident history."
benz,g-class,2023,1322066,299481,SUV,8,Automatic Transmission,Gasoline,Black, Dubai,"2023 mercedes-benz g-class with Adaptive cruise control, Rear camera, Leather seats. Condition: Dented door."
porsche,carrera,2021,1077289,164332,Coupe,6,Automatic Transmission,Gasoline,Orange, Dubai,"2021 porsche carrera with Sunroof, Rear camera. Condition: Engine repaired."
benz,gle-class,2020,166810,245569,Coupe,6,Automatic Transmission,Gasoline,White, Dubai,"2020 mercedes-benz gle-class with Adaptive cruise control, Bluetooth, Rear camera, Leather seats. Condition: Minor scratches."
bmw,x6,2024,121743,238800,SUV,6,Automatic Transmission,Gasoline,Red, Dubai,"2024 bmw x6 with Navigation system, Adaptive cruise control. Condition: Engine repaired."
nissan,patrol,2021,126083,263291,SUV,6,Automatic Transmission,Gasoline,White, Dubai,"2021 nissan patrol with Sunroof, Rear camera, Bluetooth, Leather seats. Condition: Repainted bumper."
bmw,x6,2021,725368,196129,SUV,8,Automatic Transmission,Gasoline,Black, Dubai,"2021 bmw x6 with Leather seats, Navigation system, Sunroof. Condition: No damage."
ford,edge,2021,52404,252830,SUV,6,Automatic Transmission,Gasoline,Red, Dubai,"2021 ford edge with Adaptive cruise control, Sunroof. Condition: Minor scratches."
toyota,land-cruiser,2021,70239,133485,SUV,8,Automatic Transmission,Gasoline,White, Sharjah,"2021 toyota land-cruiser with Navigation system, Bluetooth. Condition: Repainted bumper."
nissan,juke,2024,32287,286823,SUV,4,Automatic Transmission,Gasoline,White, Sharjah,"2024 nissan juke with Leather seats, Navigation system, Adaptive cruise control. Condition: Dented door."
toyota,rush,2024,57741,125026,SUV,4,Automatic Transmission,Gasoline,White, Dubai,"2024 toyota rush with Rear camera, Adaptive cruise control, Sunroof, Bluetooth. Condition: Minor scratches."
porsche,cayenne,2021,88576,78474,SUV,8,Automatic Transmission,Gasoline,White, Dubai,"2021 porsche cayenne with Leather seats, Adaptive cruise control, Navigation system. Condition: No damage."
land-rover,range-rover-sport,2024,463432,291447,SUV,8,Automatic Transmission,Gasoline,Black, Dubai,"2024 land-rover range-rover-sport with Navigation system, Leather seats. Condition: Engine repaired."
toyota,86,2020,39214,167637,Coupe,4,Manual Transmission,Gasoline,White, Dubai,"2020 toyota 86 with Navigation system, Bluetooth. Condition: Accident history."
bmw,x2,2022,130676,115581,SUV,4,Automatic Transmission,Gasoline,White, Dubai,"2022 bmw x2 with Rear camera, Bluetooth, Navigation system, Leather seats. Condition: Repainted bumper."
land-rover,range-rover-evoque,2023,140594,13809,SUV,4,Automatic Transmission,Gasoline,White, Abu Dhabi,"2023 land-rover range-rover-evoque with Adaptive cruise control, Navigation system, Bluetooth. Condition: Minor scratches."
toyota,land-cruiser,2021,97934,94865,Sedan,8,Automatic Transmission,Gasoline,White, Sharjah,"2021 toyota land-cruiser with Adaptive cruise control, Bluetooth, Rear camera, Navigation system. Condition: Accident history."
nissan,murano,2023,30279,283403,SUV,6,Automatic Transmission,Gasoline,Silver, Dubai,"2023 nissan murano with Rear camera, Sunroof, Adaptive cruise control. Condition: Engine repaired."
nissan,x-trail,2023,87129,174746,SUV,4,Automatic Transmission,Gasoline,White, Dubai,"2023 nissan x-trail with Sunroof, Navigation system. Condition: Accident history."
ford,ranger,2024,45077,25515,Pick Up Truck,4,Manual Transmission,Gasoline,White, Dubai,"2024 ford ranger with Sunroof, Navigation system. Condition: Repainted bumper."
land-rover,range-rover-evoque,2024,82827,297969,SUV,4,Automatic Transmission,Gasoline,Other Color, Dubai,"2024 land-rover range-rover-evoque with Bluetooth, Navigation system, Leather seats. Condition: No damage."
benz,s-class,2022,18324,244505,Sedan,8,Automatic Transmission,Gasoline,Black, Dubai,"2022 mercedes-benz s-class with Navigation system, Bluetooth. Condition: Engine repaired."
